config,target,runs,mean_qps,std_qps,min_qps,max_qps,mean_p95_ms,std_p95_ms,min_p95_ms,max_p95_ms,mean_avg_ms,mean_p99_ms,cpu_avg_percent,cpu_max_percent,any_cpu_warning
ibench-l2,30000.0,3,29701.666666666668,449.942455579971,29182.2,29969.4,2.0885333333333334,1.7127470108960439,0.7042,4.0039,0.9903000000000001,3.8644,66.74,100.0,True
ibench-l2,35000.0,3,30012.86666666667,6208.463759524843,23037.8,34934.4,4.1376,2.105213464235872,2.1746999999999996,6.3609,2.0821,6.585,66.74,100.0,True
ibench-l2,40000.0,3,28636.333333333332,8824.733675490343,18666.4,35445.1,5.019333333333333,2.4249111413273132,3.4159,7.809,2.7012,8.771066666666668,66.74,100.0,True
ibench-l2,45000.0,3,29718.13333333333,6850.7776677785505,22102.4,35379.0,4.703866666666666,1.8231649742503644,3.439,6.793699999999999,2.5038666666666667,7.964033333333333,66.74,100.0,True
ibench-l2,50000.0,3,30785.566666666666,6655.432992926404,23200.4,35647.6,4.714799999999999,2.0756260669976183,3.4072,7.1081,2.4074333333333335,8.086366666666667,66.74,100.0,True
ibench-l2,55000.0,3,31233.100000000002,4970.9212616978775,25802.1,35557.4,4.221733333333334,1.0389844095718346,3.4415,5.4011000000000005,2.3255666666666666,7.9293000000000005,66.74,100.0,True
ibench-l2,60000.0,3,30651.866666666665,6560.2015741388095,23078.8,34589.2,4.648466666666667,1.872983300334878,3.5649,6.8111999999999995,2.4116,7.964133333333334,66.74,100.0,True
ibench-l2,65000.0,3,30888.033333333336,6324.769475904503,23589.2,34756.5,4.479133333333333,1.5900314787240326,3.5502,6.3151,2.3922333333333334,7.950300000000001,66.74,100.0,True
ibench-l2,70000.0,3,30822.0,4820.317412785179,25475.0,34834.4,4.2316666666666665,0.9077434347508846,3.5169,5.253,2.3613666666666666,7.948,66.74,100.0,True
ibench-l2,75000.0,3,32062.066666666666,2357.5939797457345,29618.6,34323.2,3.8787,0.35039479162795795,3.5566,4.2518,2.2343333333333333,7.915233333333333,66.74,100.0,True
ibench-l2,80000.0,3,32491.600000000002,3278.937089972909,29499.4,35996.8,3.800266666666667,0.42923874863918476,3.3568000000000002,4.2137,2.2081,7.900033333333333,66.74,100.0,True
ibench-llc,5000.0,3,4989.466666666666,42.728132808880126,4952.4,5036.2,0.5148,0.006449030934954456,0.5091,0.5217999999999999,0.3557333333333334,1.1089333333333333,66.06333333333333,100.0,True
ibench-llc,10000.0,3,10029.466666666667,34.6065504396687,9993.4,10062.4,0.6473666666666666,0.04498003260707282,0.6113999999999999,0.6978,0.42816666666666664,1.9194333333333333,66.06333333333333,100.0,True
ibench-llc,15000.0,3,14965.933333333334,34.72021505309734,14938.6,15005.0,0.8115666666666667,0.10016867441138147,0.7102999999999999,0.9106000000000001,0.5028666666666667,3.3481,66.06333333333333,100.0,True
ibench-llc,20000.0,3,19974.466666666664,69.80955044500449,19916.6,20052.0,1.3121666666666667,0.4900759771028706,0.9602,1.8719000000000001,0.5850666666666666,4.1447,66.06333333333333,100.0,True
ibench-llc,25000.0,3,24943.466666666664,86.50556822155052,24856.4,25029.4,1.8624666666666665,0.5585969954567723,1.2335999999999998,2.3011,0.7370666666666666,5.0530333333333335,66.06333333333333,100.0,True
ibench-llc,30000.0,3,28694.86666666667,1169.6553566471316,27571.4,29905.8,3.858966666666666,0.9529101968881081,2.7633,4.4944,2.093366666666667,7.858666666666667,66.06333333333333,100.0,True
ibench-llc,35000.0,3,31457.600000000002,2478.922766041732,28796.4,33701.2,3.867766666666667,0.30291979686599096,3.5798,4.1837,2.2536333333333336,7.971900000000001,66.06333333333333,100.0,True
ibench-llc,40000.0,3,30735.333333333332,4023.7384225783535,27408.0,35207.4,3.9855666666666667,0.5267926948367192,3.4238000000000004,4.4685,2.350966666666667,7.9513,66.06333333333333,100.0,True
ibench-llc,45000.0,3,31168.233333333334,3547.9279676077626,28646.8,35225.3,3.9711,0.47521906527411123,3.4231,4.269699999999999,2.314433333333333,7.9525,66.06333333333333,100.0,True
